T,P,N2,O2,NO,N,O,N2+,O2+,N+,O+,NO+,e-
1747.950000,101325.000000,0.75549153,0.24084778,0.00364182,0.00000000,0.00001880,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000
1757.800000,101325.000000,0.75543145,0.24077730,0.00377038,0.00000000,0.00002072,0.00000000,0.00000000,0.00000000,0.00000000,0.00000016,0.00000000
1767.650000,101325.000000,0.75536909,0.24070395,0.00390400,0.00000000,0.00002283,0.00000000,0.00000000,0.00000000,0.00000000,0.00000013,0.00000000
1777.500000,101325.000000,0.75530528,0.24062874,0.00404073,0.00000000,0.00002514,0.00000000,0.00000000,0.00000000,0.00000000,0.00000011,0.00000000
1787.350000,101325.000000,0.75524002,0.24055168,0.00418056,0.00000000,0.00002765,0.00000000,0.00000000,0.00000000,0.00000000,0.00000009,0.00000000
1797.200000,101325.000000,0.75517334,0.24047279,0.00432342,0.00000000,0.00003038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000
1807.050000,101325.000000,0.75510528,0.24039210,0.00446923,0.00000000,0.00003333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000
1816.900000,101325.000000,0.75503571,0.24030944,0.00461826,0.00000000,0.00003653,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000
1826.750000,101325.000000,0.75496510,0.24022539,0.00476939,0.00000000,0.00003998,0.00000000,0.00000000,0.00000000,0.00000000,0.00000013,0.00000000
1836.600000,101325.000000,0.75489229,0.24013845,0.00492540,0.00000000,0.00004375,0.00000000,0.00000000,0.00000000,0.00000000,0.00000011,0.00000000
1846.450000,101325.000000,0.75481796,0.24004946,0.00508465,0.00000000,0.00004783,0.00000000,0.00000000,0.00000000,0.00000000,0.00000009,0.00000000
1856.300000,101325.000000,0.75474217,0.23995848,0.00524703,0.00000000,0.00005224,0.00000000,0.00000000,0.00000000,0.00000000,0.00000008,0.00000000
1866.150000,101325.000000,0.75466493,0.23986551,0.00541250,0.00000000,0.00005698,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000
1876.000000,101325.000000,0.75458613,0.23977038,0.00558132,0.00000000,0.00006211,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000
1885.850000,101325.000000,0.75450575,0.23967305,0.00575351,0.00000000,0.00006763,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000
1895.700000,101325.000000,0.75442380,0.23957349,0.00592909,0.00000000,0.00007358,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000
1905.550000,101325.000000,0.75434038,0.23947186,0.00610768,0.00000000,0.00007997,0.00000000,0.00000000,0.00000000,0.00000000,0.00000010,0.00000000
1915.400000,101325.000000,0.75425506,0.23936751,0.00629047,0.00000000,0.00008687,0.00000000,0.00000000,0.00000000,0.00000000,0.00000008,0.00000000
1925.250000,101325.000000,0.75416832,0.23926102,0.00647631,0.00000000,0.00009427,0.00000000,0.00000000,0.00000000,0.00000000,0.00000008,0.00000000
1935.100000,101325.000000,0.75407996,0.23915216,0.00666560,0.00000000,0.00010222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000
1944.950000,101325.000000,0.75398998,0.23904086,0.00685836,0.00000000,0.00011074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000
1954.800000,101325.000000,0.75389838,0.23892710,0.00705459,0.00000000,0.00011988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000
1964.650000,101325.000000,0.75380515,0.23881083,0.00725431,0.00000000,0.00012967,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000
1974.500000,101325.000000,0.75371036,0.23869213,0.00745728,0.00000000,0.00014013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000010,0.00000000
1984.350000,101325.000000,0.75361374,0.23857055,0.00766427,0.00000000,0.00015135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000009,0.00000000
1994.200000,101325.000000,0.75351559,0.23844647,0.00787453,0.00000000,0.00016333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000008,0.00000000
2004.050000,101325.000000,0.75341579,0.23831969,0.00808832,0.00000000,0.00017613,0.00000000,0.00000000,0.00000000,0.00000000,0.00000007,0.00000000
2013.900000,101325.000000,0.75331435,0.23819016,0.00830565,0.00000000,0.00018978,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000
2023.750000,101325.000000,0.75321125,0.23805784,0.00852652,0.00000000,0.00020435,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000
2033.600000,101325.000000,0.75310649,0.23792266,0.00875094,0.00000000,0.00021987,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000
