TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
7.56947066e-01 7.56948603e-01 7.56950127e-01 7.56951639e-01 7.56953139e-01 
7.56954627e-01 7.56956104e-01 7.56957569e-01 7.56959022e-01 7.56960464e-01 
7.56961895e-01 7.56963314e-01 7.56964722e-01 7.56966119e-01 7.56967505e-01 
7.56968881e-01 7.56970245e-01 7.56971599e-01 7.56972942e-01 7.56974275e-01 
7.56975598e-01 7.56976910e-01 7.56978212e-01 7.56979505e-01 7.56980787e-01 
7.56982059e-01 7.56983321e-01 7.56984574e-01 7.56985817e-01 7.56987051e-01 
7.56988275e-01 7.56989489e-01 7.56990695e-01 7.56991891e-01 7.56993078e-01 
7.56994256e-01 7.56995425e-01 7.56996585e-01 7.56997737e-01 7.56998880e-01 
7.57000014e-01 7.57001139e-01 7.57002256e-01 7.57003365e-01 7.57004465e-01 
7.57005557e-01 7.57006640e-01 7.57007716e-01 7.57008784e-01 7.57009843e-01 
7.57010895e-01 7.57011939e-01 7.57012975e-01 7.57014003e-01 7.57015024e-01 
7.57016037e-01 7.57017042e-01 7.57018041e-01 7.57019031e-01 7.57020015e-01 
7.57020991e-01 7.57021960e-01 7.57022922e-01 7.57023877e-01 7.57024825e-01 
7.57025765e-01 7.57026699e-01 7.57027627e-01 7.57028547e-01 7.57029461e-01 
7.57030368e-01 7.57031268e-01 7.57032162e-01 7.57033049e-01 7.57033930e-01 
7.57034805e-01 7.57035673e-01 7.57036535e-01 7.57037391e-01 7.57038241e-01 
7.57039084e-01 7.57039922e-01 7.57040753e-01 7.57041579e-01 7.57042399e-01 
7.57043212e-01 7.57044020e-01 7.57044822e-01 7.57045619e-01 7.57046410e-01 
7.57047195e-01 7.57047975e-01 7.57048749e-01 7.57049518e-01 7.57050281e-01 
7.57051039e-01 7.57051791e-01 7.57052538e-01 7.57053280e-01 7.57054017e-01 
7.57054749e-01 7.57055475e-01 7.57056197e-01 7.57056913e-01 7.57057624e-01 
7.57058331e-01 7.57059032e-01 7.57059729e-01 7.57060421e-01 7.57061108e-01 
7.57061790e-01 7.57062467e-01 7.57063140e-01 7.57063808e-01 7.57064472e-01 
7.57065131e-01 7.57065786e-01 7.57066436e-01 7.57067081e-01 7.57067722e-01 
7.57068359e-01 7.57068992e-01 7.57069620e-01 7.57070243e-01 7.57070863e-01 
7.57071478e-01 7.57072090e-01 7.57072697e-01 7.57073300e-01 7.57073898e-01 
7.57074493e-01 7.57075084e-01 7.57075671e-01 7.57076254e-01 7.57076833e-01 
7.57077408e-01 7.57077979e-01 7.57078547e-01 7.57079110e-01 7.57079670e-01 
